food_id,alias,alias_type,language
food_24ecc98c,cheese whiz,primary,en
food_e263a9d2,cheesecake,primary,en
food_05da61e5,cheesy grits,primary,en
food_5e827b20,chenna murki,primary,en
food_5342fc25,cherries,primary,en
food_377e3858,cherry and walnut cookies,primary,en
food_c65a25d2,chettinad chicken,primary,en
food_a7d18989,chettinad mutton,primary,en
food_0ad4c0e6,chettinadu chicken,primary,en
food_101dbe07,chevdo,primary,en
food_4a806110,chha gosht,primary,en
food_7da8cc2e,chhena gaja,primary,en
food_4e53ec9d,chhena poda,primary,en
food_a6a00046,chhenagaja,primary,en
food_ff1a76a9,chhenapoda,primary,en
food_c739013d,chhum han,primary,en
food_c64d6d6f,chhurpi,primary,en
food_eefbef10,chicken & rice soup,primary,en
food_cd76fece,chicken 65,primary,en
food_ce2ed4f4,chicken alfredo,primary,en
food_9eacbe8f,chicken and cheese souffle,primary,en
food_86de4bf7,chicken and corn open sandwich,primary,en
food_9edecd14,chicken and tomato towers,primary,en
food_082328ef,chicken biryani,primary,en
food_def88537,chicken breast,primary,en
food_ad757aef,chicken cafreal,primary,en
food_757293a7,chicken chowmein,primary,en
food_46695a87,chicken consomme,primary,en
food_46695a87,clear chicken soup,regional,hi
food_b55b15c4,chicken curry,primary,en
food_240c5ac7,chicken jhol,primary,en
food_c3ce6dd7,chicken kebab,primary,en
food_a9a2c925,chicken korma,primary,en
food_daf10085,chicken kosha,primary,en
food_071e65e8,chicken lasagne,primary,en
food_6a99df6e,chicken liver,primary,en
food_ab1c8f11,chicken manchurian,primary,en
food_b48f6612,chicken mcnuggets,primary,en
food_3cdbd182,chicken milanesa,primary,en
food_dc688f61,chicken momos,primary,en
food_a883c7e9,chicken noodle soup,primary,en
food_58338ece,chicken pakora/pakoda,primary,en
food_57667577,chicken parm sandwich,primary,en
food_f21d5dda,chicken piccata,primary,en
food_0a5c01c0,chicken pulao,primary,en
food_7e82ae80,chicken rezala,primary,en
food_59f63e7e,chicken salad,primary,en
food_b5b20d98,chicken salad sandwich,primary,en
food_a6317d5f,chicken sandwich,primary,en
food_a6317d5f,toasted,regional,hi
food_cc806b16,chicken stew,primary,en
food_5d404ba4,chicken stock,primary,en
food_7fa4e484,chicken sukka,primary,en
food_b769a46e,chicken sweet and sour,primary,en
food_856e471c,chicken sweet corn soup,primary,en
food_0331a630,chicken thigh,primary,en
food_cae03818,chicken thukpa,primary,en
food_276cd6fc,chicken tikka,primary,en
food_e1e09c91,chicken tikka masala,primary,en
food_6c952c23,chicken walnut sandwich,primary,en
food_6c952c23,chicken aur akhrot ke sandwich,regional,hi
food_1bc00e76,chicken wrap,primary,en
food_8e45c283,chicken yakhni,primary,en
food_3a4fc10b,chickpea flour cookies,primary,en
food_3a4fc10b,sweet besan rounds/cookies,regional,hi
food_d81face4,chickpeas,primary,en
food_d2ba968e,chickpeas curry,primary,en
food_d2ba968e,safed channa curry,regional,hi
food_dfa1acbd,chila,primary,en
food_4018db29,chili powder,primary,en
food_58ff7e53,chilka roti,primary,en
food_78e4266e,chilli chicken,primary,en
food_28ff6515,chilli paneer,primary,en
food_0f62b013,chimichurri,primary,en
food_53ae8201,chinese cabbage and meat ball soup,primary,en
food_a0400ddb,chinese fried rice,primary,en
food_995cb49c,chingri malai curry,primary,en
food_13fdf4af,chingudi malai,primary,en
food_5c4648d5,chitranna,primary,en
food_10bcd78c,chocochip ice cream,primary,en
food_264f48a9,chocolate,primary,en
food_461694e1,chocolate biscuit,primary,en
food_79044358,chocolate burfi,primary,en
food_32bb7057,chocolate butter icing,primary,en
food_1447dbf4,chocolate cake,primary,en
food_72b97036,chocolate chiffon cake,primary,en
food_52cbf738,chocolate chip cookie,primary,en
food_3eaffe92,chocolate chip cookies,primary,en
food_a14fb75b,chocolate cream shells,primary,en
food_577989d7,chocolate croissant,primary,en
food_cc1af00a,chocolate donut,primary,en
food_a478f141,chocolate eclairs,primary,en
food_652b9bc6,chocolate eggless cake,primary,en
food_686488f0,chocolate glace icing,primary,en
food_8cdf0af1,chocolate ice cream,primary,en
food_06250c84,chocolate meringue pie,primary,en
food_d8897164,chocolate milk,primary,en
food_4dd18afc,chocolate pastry,primary,en
food_01f24b2b,chocolate pudding,primary,en
food_15f26e82,chocolate sauce,primary,en
food_577a4604,chocolate souffle,primary,en
food_14f41e55,chocolate sponge cake,primary,en
food_ae286dc0,chocolate swiss roll,primary,en
food_a26aac8f,chocolate walnut cookies,primary,en
food_a26aac8f,chocolate aur akhrot ke cookies,regional,hi
food_1f6a1002,choconut ice cream,primary,en
food_c4ba8d9c,cholafali,primary,en
food_bf788aa1,cholar dal,primary,en
food_cdb52753,chole bhature,primary,en
food_2007ffbe,chole kulche,primary,en
food_b1e4202d,chorafali,primary,en
food_28c3269c,choripan,primary,en
food_5b2c9221,chorizo,primary,en
food_6b7c69b8,choux pastry,primary,en
food_bbe3465e,choux swans,primary,en
food_f7c31854,christmas bell biscuit,primary,en
food_7d613ee2,christmas biscuit,primary,en
food_b85efc68,christmas cake,primary,en
food_018e8dab,christmas star biscuit,primary,en
food_38cadd43,christmas tree biscuit,primary,en
food_b366d133,christmas wreath biscuit,primary,en
food_c95956c8,chum chum,primary,en
food_94008fec,chura sabzi,primary,en
food_ddd55962,churma,primary,en
food_82fc4f25,churma ladoo,primary,en
food_f97e11cc,churros,primary,en
food_3f83e2ee,chutney,primary,en
food_4d4eed3c,cilantro,primary,en
food_c41374b5,cinnamon sugar,primary,en
food_ba4edf9e,clam chowder,primary,en
food_611e0e11,classic club sandwich,primary,en
food_dfb627da,classic italian pasta,primary,en
food_83a862cf,classic seasoned black beans,primary,en
food_a22684aa,clear tomato soup,primary,en
food_a22684aa,tamatar ka soup,regional,hi
food_a0215c87,club sandwich,primary,en
food_623160e6,club soda,primary,en
food_a6da1c77,coarse salt,primary,en
food_c8ff6da9,cobb salad,primary,en
food_4ceaf758,cocktail sauce,primary,en
food_ad63075e,coco pine cooler,primary,en
food_94333352,coconut,primary,en
food_099a91a6,coconut biscuit,primary,en
food_099a91a6,nariyal ke biscuit,regional,hi
